"","from","to","value"
"1",2716,2676,1
"2",2782,2676,1
"3",2800,2676,1
"4",2807,2676,1
"5",2824,2676,1
"6",2852,2676,1
"7",2865,2676,1
"8",2950,2676,1
"9",3009,2676,1
"10",3022,2676,1
"11",2690,2678,1
"12",2710,2678,1
"13",2711,2678,1
"14",2738,2678,1
"15",2753,2678,1
"16",2757,2678,1
"17",2774,2678,1
"18",2795,2678,1
"19",2802,2678,1
"20",2820,2678,1
"21",2827,2678,1
"22",2846,2678,1
"23",2872,2678,1
"24",2879,2678,1
"25",2929,2678,1
"26",2947,2678,1
"27",2959,2678,1
"28",2970,2678,1
"29",2995,2678,1
"30",3020,2678,1
"31",3028,2678,1
"32",3033,2678,1
"33",3034,2678,1
"34",3053,2678,1
"35",3056,2678,1
"36",3113,2678,1
"37",3114,2678,1
"38",3130,2678,1
"39",3143,2678,1
"40",3149,2678,1
"41",2684,2679,1
"42",2701,2679,1
"43",2833,2679,1
"44",2847,2679,1
"45",2879,2679,1
"46",2925,2679,1
"47",2977,2679,1
"48",2992,2679,1
"49",3015,2679,1
"50",3034,2679,1
"51",3050,2679,1
"52",3095,2679,1
"53",3108,2679,1
"54",3115,2679,1
"55",2684,2683,1
"56",2802,2683,1
"57",2901,2683,1
"58",2912,2683,1
"59",2929,2683,1
"60",2971,2683,1
"61",3081,2683,1
"62",2685,2684,1
"63",2690,2684,1
"64",2720,2684,1
"65",2733,2684,1
"66",2757,2684,1
"67",2789,2684,1
"68",2833,2684,1
"69",2847,2684,1
"70",2849,2684,1
"71",2858,2684,1
"72",2865,2684,1
"73",2868,2684,1
"74",2872,2684,1
"75",2879,2684,1
"76",2883,2684,1
"77",2929,2684,1
"78",2995,2684,1
"79",2996,2684,1
"80",3022,2684,1
"81",3028,2684,1
"82",3032,2684,1
"83",3037,2684,1
"84",3053,2684,1
"85",3055,2684,1
"86",3081,2684,1
"87",3095,2684,1
"88",3104,2684,1
"89",2690,2685,1
"90",2724,2685,1
"91",2753,2685,1
"92",2757,2685,1
"93",2768,2685,1
"94",2789,2685,1
"95",2858,2685,1
"96",2868,2685,1
"97",2879,2685,1
"98",2888,2685,1
"99",2929,2685,1
"100",2996,2685,1
"101",3053,2685,1
"102",3088,2685,1
"103",3101,2685,1
"104",3104,2685,1
"105",3115,2685,1
"106",2684,2686,1
"107",2711,2686,1
"108",2760,2686,1
"109",2767,2686,1
"110",2789,2686,1
"111",2859,2686,1
"112",2878,2686,1
"113",2879,2686,1
"114",2890,2686,1
"115",2898,2686,1
"116",2925,2686,1
"117",2929,2686,1
"118",2952,2686,1
"119",2959,2686,1
"120",2968,2686,1
"121",2977,2686,1
"122",2992,2686,1
"123",2995,2686,1
"124",3034,2686,1
"125",3062,2686,1
"126",3072,2686,1
"127",3095,2686,1
"128",3101,2686,1
"129",2724,2687,1
"130",2733,2687,1
"131",2744,2687,1
"132",2757,2687,1
"133",2760,2687,1
"134",2768,2687,1
"135",2789,2687,1
"136",2858,2687,1
"137",2879,2687,1
"138",2889,2687,1
"139",2910,2687,1
"140",2929,2687,1
"141",2988,2687,1
"142",3014,2687,1
"143",3026,2687,1
"144",3053,2687,1
"145",3056,2687,1
"146",3071,2687,1
"147",3104,2687,1
"148",2738,2690,1
"149",2789,2690,1
"150",2827,2690,1
"151",2890,2690,1
"152",2947,2690,1
"153",2971,2690,1
"154",3010,2690,1
"155",3053,2690,1
"156",3057,2690,1
"157",3104,2690,1
"158",3115,2690,1
"159",3149,2690,1
"160",2724,2691,1
"161",2733,2691,1
"162",2890,2691,1
"163",2929,2691,1
"164",3010,2691,1
"165",3037,2691,1
"166",3049,2691,1
"167",3071,2691,1
"168",3104,2691,1
"169",2711,2693,1
"170",2731,2693,1
"171",2804,2693,1
"172",2846,2693,1
"173",2872,2693,1
"174",2992,2693,1
"175",3021,2693,1
"176",2741,2694,1
"177",2784,2694,1
"178",2814,2694,1
"179",2834,2694,1
"180",2849,2694,1
"181",2862,2694,1
"182",3032,2694,1
"183",2768,2696,1
"184",2800,2696,1
"185",2804,2696,1
"186",2847,2696,1
"187",2879,2696,1
"188",2889,2696,1
"189",2890,2696,1
"190",2925,2696,1
"191",2952,2696,1
"192",2963,2696,1
"193",2968,2696,1
"194",2975,2696,1
"195",2976,2696,1
"196",2977,2696,1
"197",2992,2696,1
"198",3006,2696,1
"199",3008,2696,1
"200",3010,2696,1
"201",3015,2696,1
"202",3021,2696,1
"203",3057,2696,1
"204",3067,2696,1
"205",3071,2696,1
"206",3102,2696,1
"207",3108,2696,1
"208",2679,2701,1
"209",2684,2701,1
"210",2770,2701,1
"211",2833,2701,1
"212",3088,2701,1
"213",3095,2701,1
"214",3115,2701,1
"215",2733,2703,1
"216",2767,2703,1
"217",2828,2703,1
"218",2873,2703,1
"219",2684,2704,1
"220",2690,2704,1
"221",2733,2704,1
"222",2738,2704,1
"223",2760,2704,1
"224",2789,2704,1
"225",2798,2704,1
"226",2810,2704,1
"227",2814,2704,1
"228",2820,2704,1
"229",2827,2704,1
"230",2847,2704,1
"231",2858,2704,1
"232",2865,2704,1
"233",2878,2704,1
"234",2879,2704,1
"235",2890,2704,1
"236",2929,2704,1
"237",2970,2704,1
"238",2971,2704,1
"239",2996,2704,1
"240",3000,2704,1
"241",3020,2704,1
"242",3049,2704,1
"243",3053,2704,1
"244",3057,2704,1
"245",3067,2704,1
"246",3104,2704,1
"247",3115,2704,1
"248",3133,2704,1
"249",2690,2705,1
"250",2691,2705,1
"251",2723,2705,1
"252",2738,2705,1
"253",2760,2705,1
"254",2768,2705,1
"255",2814,2705,1
"256",2821,2705,1
"257",2879,2705,1
"258",2890,2705,1
"259",2912,2705,1
"260",2947,2705,1
"261",2971,2705,1
"262",3014,2705,1
"263",3032,2705,1
"264",3049,2705,1
"265",3056,2705,1
"266",2684,2706,1
"267",2723,2706,1
"268",2830,2706,1
"269",2895,2706,1
"270",2948,2706,1
"271",2971,2706,1
"272",3056,2706,1
"273",2678,2710,1
"274",2711,2710,1
"275",2753,2710,1
"276",2833,2710,1
"277",2872,2710,1
"278",2929,2710,1
"279",2949,2710,1
"280",2987,2710,1
"281",2995,2710,1
"282",3028,2710,1
"283",3033,2710,1
"284",3056,2710,1
"285",3143,2710,1
"286",2678,2711,1
"287",2686,2711,1
"288",2693,2711,1
"289",2710,2711,1
"290",2716,2711,1
"291",2731,2711,1
"292",2753,2711,1
"293",2846,2711,1
"294",2847,2711,1
"295",2872,2711,1
"296",2925,2711,1
"297",2929,2711,1
"298",2952,2711,1
"299",2968,2711,1
"300",2977,2711,1
"301",2987,2711,1
"302",3015,2711,1
"303",3021,2711,1
"304",3028,2711,1
"305",3033,2711,1
"306",3115,2711,1
"307",2684,2712,1
"308",2757,2712,1
"309",2821,2712,1
"310",2849,2712,1
"311",2859,2712,1
"312",2883,2712,1
"313",2910,2712,1
"314",2920,2712,1
"315",2929,2712,1
"316",2971,2712,1
"317",3068,2712,1
"318",3104,2712,1
"319",3114,2712,1
"320",2696,2715,1
"321",2800,2715,1
"322",2889,2715,1
"323",2986,2715,1
"324",3006,2715,1
"325",3051,2715,1
"326",3072,2715,1
"327",3102,2715,1
"328",2711,2716,1
"329",2724,2716,1
"330",2760,2716,1
"331",2824,2716,1
"332",2865,2716,1
"333",2929,2716,1
"334",2950,2716,1
"335",2684,2718,1
"336",2722,2718,1
"337",2790,2718,1
"338",2833,2718,1
"339",2915,2718,1
"340",2978,2718,1
"341",3055,2718,1
"342",3130,2718,1
"343",2685,2719,1
"344",2734,2719,1
"345",2904,2719,1
"346",2910,2719,1
"347",2925,2719,1
"348",2987,2719,1
"349",3114,2719,1
"350",2684,2720,1
"351",2767,2720,1
"352",2773,2720,1
"353",2774,2720,1
"354",2898,2720,1
"355",2929,2720,1
"356",2965,2720,1
"357",2995,2720,1
"358",3037,2720,1
"359",3056,2720,1
"360",3037,2721,1
"361",2718,2722,1
"362",2728,2722,1
"363",2740,2722,1
"364",2790,2722,1
"365",2815,2722,1
"366",2880,2722,1
"367",2905,2722,1
"368",2684,2723,1
"369",2705,2723,1
"370",2706,2723,1
"371",2733,2723,1
"372",2744,2723,1
"373",2760,2723,1
"374",2768,2723,1
"375",2789,2723,1
"376",2823,2723,1
"377",2858,2723,1
"378",2879,2723,1
"379",2881,2723,1
"380",2888,2723,1
"381",2889,2723,1
"382",2890,2723,1
"383",2898,2723,1
"384",2908,2723,1
"385",2909,2723,1
"386",2929,2723,1
"387",2947,2723,1
"388",2959,2723,1
"389",2977,2723,1
"390",2992,2723,1
"391",2996,2723,1
"392",3010,2723,1
"393",3014,2723,1
"394",3020,2723,1
"395",3032,2723,1
"396",3053,2723,1
"397",3056,2723,1
"398",3057,2723,1
"399",3104,2723,1
"400",3114,2723,1
"401",3115,2723,1
"402",2684,2724,1
"403",2687,2724,1
"404",2716,2724,1
"405",2723,2724,1
"406",2733,2724,1
"407",2744,2724,1
"408",2760,2724,1
"409",2768,2724,1
"410",2773,2724,1
"411",2789,2724,1
"412",2814,2724,1
"413",2858,2724,1
"414",2879,2724,1
"415",2888,2724,1
"416",2889,2724,1
"417",2908,2724,1
"418",2929,2724,1
"419",2938,2724,1
"420",2996,2724,1
"421",3004,2724,1
"422",3014,2724,1
"423",3020,2724,1
"424",3026,2724,1
"425",3032,2724,1
"426",3053,2724,1
"427",3056,2724,1
"428",3057,2724,1
"429",3104,2724,1
"430",3115,2724,1
"431",2770,2727,1
"432",2854,2727,1
"433",2855,2727,1
"434",2868,2727,1
"435",3073,2727,1
"436",3136,2727,1
"437",2718,2728,1
"438",2722,2728,1
"439",2790,2728,1
"440",2815,2728,1
"441",2823,2728,1
"442",2880,2728,1
"443",3055,2728,1
"444",2711,2731,1
"445",2846,2731,1
"446",2847,2731,1
"447",2872,2731,1
"448",2900,2731,1
"449",2925,2731,1
"450",2929,2731,1
"451",2952,2731,1
"452",2992,2731,1
"453",2995,2731,1
"454",2996,2731,1
"455",3010,2731,1
"456",3021,2731,1
"457",3028,2731,1
"458",3033,2731,1
"459",3034,2731,1
"460",3056,2731,1
"461",3067,2731,1
"462",2684,2733,1
"463",2685,2733,1
"464",2690,2733,1
"465",2712,2733,1
"466",2724,2733,1
"467",2738,2733,1
"468",2760,2733,1
"469",2768,2733,1
"470",2789,2733,1
"471",2810,2733,1
"472",2814,2733,1
"473",2823,2733,1
"474",2827,2733,1
"475",2828,2733,1
"476",2858,2733,1
"477",2865,2733,1
"478",2872,2733,1
"479",2873,2733,1
"480",2883,2733,1
"481",2888,2733,1
"482",2890,2733,1
"483",2909,2733,1
"484",2910,2733,1
"485",2919,2733,1
"486",2929,2733,1
"487",2946,2733,1
"488",2975,2733,1
"489",2977,2733,1
"490",2988,2733,1
"491",3000,2733,1
"492",3010,2733,1
"493",3014,2733,1
"494",3020,2733,1
"495",3032,2733,1
"496",3049,2733,1
"497",3056,2733,1
"498",3057,2733,1
"499",3104,2733,1
"500",3115,2733,1
"501",3133,2733,1
"502",3149,2733,1
"503",2719,2734,1
"504",2757,2734,1
"505",2839,2734,1
"506",2883,2734,1
"507",2904,2734,1
"508",2910,2734,1
"509",2925,2734,1
"510",2929,2734,1
"511",3009,2734,1
"512",3114,2734,1
"513",2678,2738,1
"514",2690,2738,1
"515",2799,2738,1
"516",2827,2738,1
"517",2890,2738,1
"518",2912,2738,1
"519",2929,2738,1
"520",2947,2738,1
"521",2975,2738,1
"522",2995,2738,1
"523",3049,2738,1
"524",3056,2738,1
"525",3091,2738,1
"526",3115,2738,1
"527",3149,2738,1
"528",2975,2739,1
"529",3010,2739,1
"530",3056,2739,1
"531",3144,2739,1
"532",2722,2740,1
"533",2815,2740,1
"534",2868,2740,1
"535",2880,2740,1
"536",2978,2740,1
"537",3055,2740,1
"538",3073,2740,1
"539",2694,2741,1
"540",2746,2741,1
"541",2784,2741,1
"542",2814,2741,1
"543",2834,2741,1
"544",2849,2741,1
"545",2862,2741,1
"546",2971,2741,1
"547",3004,2741,1
"548",3032,2741,1
"549",2687,2744,1
"550",2724,2744,1
"551",2760,2744,1
"552",2879,2744,1
"553",2908,2744,1
"554",2929,2744,1
"555",2947,2744,1
"556",2971,2744,1
"557",3056,2744,1
"558",2768,2746,1
"559",2814,2746,1
"560",2834,2746,1
"561",2849,2746,1
"562",2888,2746,1
"563",2929,2746,1
"564",2793,2749,1
"565",2828,2749,1
"566",2895,2749,1
"567",2944,2749,1
"568",2972,2749,1
"569",3070,2749,1
"570",3082,2749,1
"571",3083,2749,1
"572",2760,2752,1
"573",2800,2752,1
"574",2845,2752,1
"575",2876,2752,1
"576",2919,2752,1
"577",2938,2752,1
"578",2984,2752,1
"579",2995,2752,1
"580",3014,2752,1
"581",3049,2752,1
"582",3051,2752,1
"583",3091,2752,1
"584",2678,2753,1
"585",2684,2753,1
"586",2710,2753,1
"587",2871,2753,1
"588",2872,2753,1
"589",2929,2753,1
"590",2987,2753,1
"591",3020,2753,1
"592",3028,2753,1
"593",3033,2753,1
"594",2678,2757,1
"595",2687,2757,1
"596",2712,2757,1
"597",2719,2757,1
"598",2767,2757,1
"599",2821,2757,1
"600",2859,2757,1
"601",2872,2757,1
"602",2879,2757,1
"603",2883,2757,1
"604",2904,2757,1
"605",2910,2757,1
"606",2929,2757,1
"607",2938,2757,1
"608",2959,2757,1
"609",3053,2757,1
"610",3068,2757,1
"611",3114,2757,1
"612",2690,2760,1
"613",2716,2760,1
"614",2723,2760,1
"615",2733,2760,1
"616",2789,2760,1
"617",2879,2760,1
"618",2889,2760,1
"619",2890,2760,1
"620",2922,2760,1
"621",2938,2760,1
"622",2971,2760,1
"623",2975,2760,1
"624",2996,2760,1
"625",3049,2760,1
"626",3114,2760,1
"627",3115,2760,1
"628",2710,2761,1
"629",2774,2761,1
"630",2820,2761,1
"631",2946,2761,1
"632",2952,2761,1
"633",2959,2761,1
"634",2970,2761,1
"635",2971,2761,1
"636",2995,2761,1
"637",3009,2761,1
"638",3022,2761,1
"639",3042,2761,1
"640",3049,2761,1
"641",3056,2761,1
"642",3060,2761,1
"643",3067,2761,1
"644",2724,2765,1
"645",2733,2765,1
"646",2760,2765,1
"647",2810,2765,1
"648",2879,2765,1
"649",2908,2765,1
"650",2929,2765,1
"651",3014,2765,1
"652",3053,2765,1
"653",3056,2765,1
"654",3104,2765,1
"655",2865,2766,1
"656",2946,2766,1
"657",2686,2767,1
"658",2690,2767,1
"659",2720,2767,1
"660",2733,2767,1
