"","From","To","relation","value"
"194",30,77,"Feeling",5
"195",30,77,"Conflict",1
"196",30,33,"Feeling",5
"197",30,33,"Conflict",1
"198",30,238,"Feeling",5
"199",30,238,"Conflict",1
"200",30,293,"Feeling",5
"201",30,293,"Conflict",1
"202",30,306,"Feeling",5
"203",30,306,"Conflict",1
"204",30,267,"Required",1
"205",30,267,"Advice",1
"206",30,267,"Feeling",5
"207",30,267,"Conflict",1
"208",30,37,"Required",1
"209",30,37,"Advice",1
"210",30,37,"Feeling",5
"211",30,37,"Conflict",1
"212",37,90,"Required",1
"213",37,90,"Advice",1
"214",37,90,"Feeling",5
"215",37,90,"Conflict",1
"216",37,16,"Feeling",5
"217",37,16,"Conflict",1
"218",37,148,"Feeling",5
"219",37,148,"Conflict",1
"220",37,163,"Required",1
"221",37,163,"Feeling",1
"222",37,163,"Conflict",4
"223",37,300,"Feeling",5
"224",37,300,"Conflict",1
"225",37,20,"Required",1
"226",37,20,"Advice",1
"227",37,20,"Feeling",5
"228",37,20,"Conflict",1
"229",37,30,"Required",1
"230",37,30,"Advice",1
"231",37,30,"Feeling",5
"232",37,30,"Conflict",1
"233",37,33,"Feeling",5
"234",37,33,"Conflict",1
"235",37,238,"Feeling",5
"236",37,238,"Conflict",1
"237",37,206,"Feeling",5
"238",37,206,"Conflict",1
"239",37,293,"Feeling",5
"240",37,293,"Conflict",1
"241",37,306,"Feeling",5
"242",37,306,"Conflict",1
"243",37,75,"Advice",1
"244",37,75,"Feeling",5
"245",37,75,"Conflict",1
"246",37,59,"Feeling",3
"247",37,59,"Conflict",1
"248",37,147,"Required",1
"249",37,147,"Advice",1
"250",37,147,"Feeling",5
"251",37,147,"Conflict",1
"252",37,267,"Required",1
"253",37,267,"Advice",1
"254",37,267,"Feeling",5
"255",37,267,"Conflict",1
"256",37,217,"Feeling",5
"257",37,217,"Conflict",1
"258",37,312,"Advice",1
"259",37,312,"Feeling",5
"260",37,312,"Conflict",1
"261",40,349,"Required",1
"262",40,349,"Feeling",5
"263",40,349,"Conflict",1
"264",40,220,"Required",1
"265",40,220,"Advice",1
"266",40,220,"Feeling",5
"267",40,220,"Conflict",2
"268",40,298,"Required",1
"269",40,298,"Feeling",5
"270",40,298,"Conflict",1
"271",40,56,"Required",1
"272",40,56,"Feeling",5
"273",40,56,"Conflict",1
"274",40,145,"Required",1
"275",40,145,"Feeling",5
"276",40,145,"Conflict",1
"277",40,84,"Required",1
"278",40,84,"Advice",1
"279",40,84,"Feeling",5
"280",40,84,"Conflict",2
"281",40,182,"Required",1
"282",40,182,"Advice",1
"283",40,182,"Feeling",5
"284",40,182,"Conflict",2
"285",40,211,"Required",1
"286",40,211,"Advice",1
"287",40,211,"Feeling",5
"288",40,211,"Conflict",1
"289",40,257,"Required",1
"290",40,257,"Advice",1
"291",40,257,"Feeling",5
"292",40,257,"Conflict",1
"293",40,276,"Required",1
"294",40,276,"Advice",1
"295",40,276,"Feeling",5
"296",40,276,"Conflict",1
"297",40,339,"Required",1
"298",40,339,"Advice",1
"299",40,339,"Feeling",5
"300",40,339,"Conflict",1
"301",41,78,"Required",1
"302",41,78,"Feeling",4
"303",41,78,"Conflict",1
"304",41,319,"Required",1
"305",41,319,"Advice",1
"306",41,319,"Feeling",5
"307",41,319,"Conflict",1
"308",41,40,"Required",1
"309",41,40,"Advice",1
"310",41,40,"Feeling",4
"311",41,40,"Conflict",2
"312",41,173,"Required",1
"313",41,173,"Advice",1
"314",41,173,"Feeling",5
"315",41,173,"Conflict",1
"316",41,171,"Advice",1
"317",41,171,"Feeling",4
"318",41,171,"Conflict",1
"319",41,276,"Required",1
"320",41,276,"Advice",1
"321",41,276,"Feeling",5
"322",41,276,"Conflict",2
"323",41,116,"Required",1
"324",41,116,"Advice",1
"325",41,116,"Feeling",5
"326",41,116,"Conflict",1
"327",41,231,"Advice",1
"328",41,231,"Feeling",4
"329",41,231,"Conflict",1
"330",41,182,"Required",1
"331",41,182,"Advice",1
"332",41,182,"Feeling",5
"333",41,182,"Conflict",2
"334",41,339,"Required",1
"335",41,339,"Advice",1
"336",41,339,"Feeling",5
"337",41,339,"Conflict",1
"338",41,194,"Required",1
"339",41,194,"Advice",1
"340",41,194,"Feeling",4
"341",41,194,"Conflict",1
"342",41,341,"Required",1
"343",41,341,"Feeling",4
"344",41,341,"Conflict",2
"345",41,136,"Required",1
"346",41,136,"Advice",1
"347",41,136,"Feeling",5
"348",41,136,"Conflict",1
"349",41,192,"Required",1
"350",41,192,"Feeling",4
"351",41,192,"Conflict",1
"352",41,145,"Feeling",4
"353",41,145,"Conflict",1
