"","from","to","value"
"291",3130,2767,1
"292",3151,2767,1
"293",2685,2768,1
"294",2690,2768,1
"295",2968,2768,1
"296",2971,2768,1
"297",2728,2770,1
"298",2815,2770,1
"299",2833,2770,1
"300",2855,2770,1
"301",2905,2770,1
"302",3135,2770,1
"303",3136,2770,1
"304",2718,2772,1
"305",2815,2772,1
"306",2854,2773,1
"307",2855,2773,1
"308",2884,2773,1
"309",2910,2774,1
"310",2937,2774,1
"311",2971,2774,1
"312",2995,2774,1
"313",3022,2774,1
"314",3056,2774,1
"315",3080,2774,1
"316",3147,2774,1
"317",2716,2782,1
"318",2807,2782,1
"319",2852,2782,1
"320",2865,2782,1
"321",3091,2782,1
"322",2694,2784,1
"323",2849,2784,1
"324",2862,2784,1
"325",2872,2785,1
"326",2949,2785,1
"327",2987,2785,1
"328",3033,2785,1
"329",2685,2789,1
"330",2690,2789,1
"331",2816,2789,1
"332",2847,2789,1
"333",2868,2789,1
"334",2880,2789,1
"335",2888,2789,1
"336",2971,2789,1
"337",2978,2789,1
"338",3026,2789,1
"339",3073,2789,1
"340",3088,2789,1
"341",3115,2789,1
"342",2718,2790,1
"343",2722,2790,1
"344",2728,2790,1
"345",2815,2790,1
"346",2897,2790,1
"347",3039,2790,1
"348",3013,2793,1
"349",2766,2795,1
"350",2859,2795,1
"351",2888,2795,1
"352",2910,2795,1
"353",3013,2795,1
"354",3021,2795,1
"355",3062,2795,1
"356",3070,2795,1
"357",2690,2798,1
"358",2829,2798,1
"359",2883,2798,1
"360",2995,2798,1
"361",3110,2798,1
"362",3113,2798,1
"363",3115,2798,1
"364",3149,2798,1
"365",3011,2799,1
"366",3149,2799,1
"367",3006,2800,1
"368",3102,2800,1
"369",2910,2804,1
"370",2968,2804,1
"371",3008,2804,1
"372",3108,2804,1
"373",2853,2807,1
"374",2744,2810,1
"375",2765,2810,1
"376",2779,2810,1
"377",3091,2810,1
"378",3102,2813,1
"379",3115,2813,1
"380",2741,2814,1
"381",2862,2814,1
"382",2978,2814,1
"383",2722,2815,1
"384",2728,2815,1
"385",2690,2816,1
"386",2768,2816,1
"387",2789,2816,1
"388",2798,2816,1
"389",2847,2816,1
"390",3020,2816,1
"391",3026,2816,1
"392",3115,2816,1
"393",2852,2820,1
"394",2970,2820,1
"395",3060,2820,1
"396",3143,2820,1
"397",2910,2821,1
"398",3036,2821,1
"399",2679,2823,1
"400",3108,2823,1
"401",2678,2827,1
"402",2690,2827,1
"403",2738,2827,1
"404",2947,2827,1
"405",2975,2827,1
"406",3056,2827,1
"407",3067,2827,1
"408",3115,2827,1
"409",3149,2827,1
"410",2701,2828,1
"411",3013,2828,1
"412",3066,2828,1
"413",3016,2829,1
"414",2706,2830,1
"415",2744,2830,1
"416",2944,2830,1
"417",2948,2830,1
"418",3021,2830,1
"419",2701,2833,1
"420",2718,2833,1
"421",2965,2833,1
"422",2862,2834,1
"423",2719,2838,1
"424",2734,2838,1
"425",2904,2838,1
"426",2910,2838,1
"427",2920,2838,1
"428",3068,2838,1
"429",3115,2838,1
"430",2719,2839,1
"431",2838,2839,1
"432",2904,2839,1
"433",2910,2839,1
"434",2920,2839,1
"435",3068,2839,1
"436",3114,2839,1
"437",2807,2842,1
"438",2852,2842,1
"439",2950,2842,1
"440",3008,2845,1
"441",3102,2845,1
"442",2693,2846,1
"443",2995,2846,1
"444",3033,2846,1
"445",2833,2847,1
"446",2965,2847,1
"447",2897,2855,1
"448",2690,2858,1
"449",2823,2858,1
"450",2829,2858,1
"451",2884,2858,1
"452",2988,2858,1
"453",3115,2858,1
"454",2920,2859,1
"455",2739,2860,1
"456",3144,2860,1
"457",2766,2865,1
"458",2852,2865,1
"459",2685,2868,1
"460",3039,2868,1
"461",3115,2868,1
"462",3136,2868,1
"463",3151,2868,1
"464",3102,2871,1
"465",2678,2872,1
"466",2710,2872,1
"467",2711,2872,1
"468",2910,2872,1
"469",2987,2872,1
"470",3070,2872,1
"471",2910,2873,1
"472",2984,2876,1
"473",3051,2876,1
"474",2678,2879,1
"475",2691,2879,1
"476",2696,2879,1
"477",2704,2879,1
"478",2710,2879,1
"479",2723,2879,1
"480",2733,2879,1
"481",2738,2879,1
"482",2765,2879,1
"483",2767,2879,1
"484",2768,2879,1
"485",2774,2879,1
"486",2789,2879,1
"487",2795,2879,1
"488",2804,2879,1
"489",2810,2879,1
"490",2816,2879,1
"491",2845,2879,1
"492",2858,2879,1
"493",2880,2879,1
"494",2888,2879,1
"495",2909,2879,1
"496",2910,2879,1
"497",2919,2879,1
"498",2925,2879,1
"499",2938,2879,1
"500",2968,2879,1
"501",2971,2879,1
"502",2977,2879,1
"503",2978,2879,1
"504",2988,2879,1
"505",2995,2879,1
"506",3021,2879,1
"507",3026,2879,1
"508",3028,2879,1
"509",3053,2879,1
"510",3055,2879,1
"511",3056,2879,1
"512",3071,2879,1
"513",3073,2879,1
"514",3104,2879,1
"515",3108,2879,1
"516",3114,2879,1
"517",3115,2879,1
"518",3130,2879,1
"519",2722,2880,1
"520",2823,2881,1
"521",3013,2882,1
"522",2838,2883,1
"523",2910,2883,1
"524",3068,2883,1
"525",3114,2883,1
"526",3115,2883,1
"527",2879,2884,1
"528",3151,2884,1
"529",2782,2888,1
"530",2876,2888,1
"531",2973,2888,1
"532",3051,2888,1
"533",3115,2888,1
"534",2744,2889,1
"535",2800,2889,1
"536",2871,2889,1
"537",2963,2889,1
"538",2986,2889,1
"539",3006,2889,1
"540",3102,2889,1
"541",2847,2890,1
"542",2883,2890,1
"543",2909,2890,1
"544",3104,2890,1
"545",3115,2890,1
"546",3140,2890,1
"547",2749,2895,1
