"","from","to","value"
"1",2716,2676,1
"2",2824,2676,1
"3",2710,2678,1
"4",2711,2678,1
"5",2753,2678,1
"6",2757,2678,1
"7",2827,2678,1
"8",2900,2678,1
"9",2959,2678,1
"10",3028,2678,1
"11",3113,2678,1
"12",3114,2678,1
"13",3143,2678,1
"14",2711,2679,1
"15",2721,2679,1
"16",2833,2679,1
"17",2847,2679,1
"18",2968,2679,1
"19",2977,2679,1
"20",3015,2679,1
"21",3095,2679,1
"22",3108,2679,1
"23",2901,2683,1
"24",2911,2683,1
"25",3081,2683,1
"26",2721,2684,1
"27",2847,2684,1
"28",2880,2684,1
"29",3028,2684,1
"30",3055,2684,1
"31",3081,2684,1
"32",3095,2684,1
"33",3101,2684,1
"34",3114,2684,1
"35",2813,2685,1
"36",3020,2685,1
"37",3101,2685,1
"38",3114,2685,1
"39",3115,2685,1
"40",2711,2686,1
"41",2746,2686,1
"42",2859,2686,1
"43",2925,2686,1
"44",2977,2686,1
"45",2995,2686,1
"46",3021,2686,1
"47",3028,2686,1
"48",3034,2686,1
"49",3070,2686,1
"50",3081,2686,1
"51",3101,2686,1
"52",3108,2686,1
"53",2712,2687,1
"54",2724,2687,1
"55",2744,2687,1
"56",2765,2687,1
"57",2789,2687,1
"58",2800,2687,1
"59",2858,2687,1
"60",2889,2687,1
"61",2912,2687,1
"62",2926,2687,1
"63",2929,2687,1
"64",2963,2687,1
"65",3014,2687,1
"66",3020,2687,1
"67",3028,2687,1
"68",3067,2687,1
"69",3104,2687,1
"70",3114,2687,1
"71",2691,2690,1
"72",2798,2690,1
"73",2911,2690,1
"74",2947,2690,1
"75",3115,2690,1
"76",3149,2690,1
"77",3067,2691,1
"78",3071,2691,1
"79",3104,2691,1
"80",2711,2693,1
"81",2731,2693,1
"82",2846,2693,1
"83",2741,2694,1
"84",2784,2694,1
"85",2704,2696,1
"86",2800,2696,1
"87",2804,2696,1
"88",2847,2696,1
"89",2860,2696,1
"90",2879,2696,1
"91",2889,2696,1
"92",2925,2696,1
"93",2926,2696,1
"94",2947,2696,1
"95",2963,2696,1
"96",2968,2696,1
"97",2976,2696,1
"98",2977,2696,1
"99",3015,2696,1
"100",3051,2696,1
"101",3067,2696,1
"102",3071,2696,1
"103",3102,2696,1
"104",3103,2696,1
"105",2679,2701,1
"106",2828,2701,1
"107",2833,2701,1
"108",3016,2701,1
"109",3088,2701,1
"110",3095,2701,1
"111",3115,2701,1
"112",2749,2703,1
"113",3082,2703,1
"114",2687,2704,1
"115",2696,2704,1
"116",2733,2704,1
