"","numid1","numid2","relation","node1","node2","value","sample","time"
"1",1,2,"Recognition","D11_Supv.2","D15_Superin.2",1,2,3
"2",1,3,"Collaboration","D11_Supv.2","D16_Dir.2",1,2,1
"3",1,4,"InfoWork","D11_Supv.2","D1_Superin.2",1,2,3
"4",1,4,"Innovation","D11_Supv.2","D1_Superin.2",3,2,1
"5",1,5,"Collaboration","D11_Supv.2","D22_Supv.2",2,2,2
"6",1,6,"Collaboration","D11_Supv.2","D25_Supv.2",4,2,1
"7",1,6,"Collaboration","D11_Supv.2","D25_Supv.2",4,2,2
"8",1,6,"Collaboration","D11_Supv.2","D25_Supv.2",2,2,3
"9",1,6,"Confidential","D11_Supv.2","D25_Supv.2",3,2,2
"10",1,6,"Confidential","D11_Supv.2","D25_Supv.2",1,2,3
"11",1,6,"Energy","D11_Supv.2","D25_Supv.2",1,2,1
"12",1,6,"Energy","D11_Supv.2","D25_Supv.2",3,2,2
"13",1,6,"Energy","D11_Supv.2","D25_Supv.2",1,2,3
"14",1,6,"InfoWork","D11_Supv.2","D25_Supv.2",3,2,1
"15",1,6,"InfoWork","D11_Supv.2","D25_Supv.2",3,2,2
"16",1,6,"InfoWork","D11_Supv.2","D25_Supv.2",3,2,3
"17",1,6,"InputDecision","D11_Supv.2","D25_Supv.2",3,2,1
"18",1,6,"InputDecision","D11_Supv.2","D25_Supv.2",2,2,2
"19",1,6,"InputDecision","D11_Supv.2","D25_Supv.2",2,2,3
"20",1,6,"Recognition","D11_Supv.2","D25_Supv.2",3,2,1
"21",1,6,"Recognition","D11_Supv.2","D25_Supv.2",1,2,2
"22",1,6,"Recognition","D11_Supv.2","D25_Supv.2",1,2,3
"23",1,6,"Innovation","D11_Supv.2","D25_Supv.2",2,2,1
"24",1,6,"Innovation","D11_Supv.2","D25_Supv.2",2,2,3
"25",1,7,"Collaboration","D11_Supv.2","D28_Supv.2",1,2,3
"26",1,9,"InfoWork","D11_Supv.2","D4_Superin.2",1,2,3
"27",1,9,"InputDecision","D11_Supv.2","D4_Superin.2",1,2,3
"28",1,9,"Innovation","D11_Supv.2","D4_Superin.2",3,2,1
"29",1,10,"Innovation","D11_Supv.2","D6_Supv.2",3,2,2
"30",1,14,"Innovation","D11_Supv.2","S14_Prin.2",2,2,1
"31",1,14,"Innovation","D11_Supv.2","S14_Prin.2",2,2,2
"32",1,17,"Energy","D11_Supv.2","S1_Prin.2",1,2,3
"33",1,19,"Collaboration","D11_Supv.2","S24_Prin.2",1,2,2
"34",1,20,"Energy","D11_Supv.2","S2_Prin.2",1,2,3
"35",1,20,"InfoWork","D11_Supv.2","S2_Prin.2",1,2,3
"36",1,20,"Recognition","D11_Supv.2","S2_Prin.2",1,2,3
"37",1,21,"Energy","D11_Supv.2","S34_Prin.2",1,2,3
"38",1,21,"Innovation","D11_Supv.2","S34_Prin.2",3,2,1
"39",1,21,"Innovation","D11_Supv.2","S34_Prin.2",2,2,2
"40",1,22,"Collaboration","D11_Supv.2","S35_Prin.2",2,2,1
"41",1,27,"Collaboration","D11_Supv.2","S5_Prin.2",4,2,1
"42",1,27,"Collaboration","D11_Supv.2","S5_Prin.2",4,2,2
"43",1,27,"Collaboration","D11_Supv.2","S5_Prin.2",2,2,3
"44",1,27,"Confidential","D11_Supv.2","S5_Prin.2",1,2,1
"45",1,27,"Confidential","D11_Supv.2","S5_Prin.2",3,2,2
"46",1,27,"Confidential","D11_Supv.2","S5_Prin.2",1,2,3
"47",1,27,"Energy","D11_Supv.2","S5_Prin.2",1,2,1
"48",1,27,"Energy","D11_Supv.2","S5_Prin.2",2,2,2
"49",1,27,"Energy","D11_Supv.2","S5_Prin.2",1,2,3
"50",1,27,"InfoWork","D11_Supv.2","S5_Prin.2",1,2,1
"51",1,27,"InfoWork","D11_Supv.2","S5_Prin.2",1,2,2
"52",1,27,"InfoWork","D11_Supv.2","S5_Prin.2",1,2,3
